"artist_id","followers","genres","image_middle","name","popularity","external_urls","href","uri"
"4pFlv4QVInj7bAo0MqHpwW",24069,"choral,classical mezzo-soprano,classical performance,opera",https://i.scdn.co/image/243795309e507b2c569bc48fed4f39edc47a1555,Anne Sofie von Otter,39,https://open.spotify.com/artist/4pFlv4QVInj7bAo0MqHpwW,https://api.spotify.com/v1/artists/4pFlv4QVInj7bAo0MqHpwW,spotify:artist:4pFlv4QVInj7bAo0MqHpwW
"1C3XEupIPUifPP8v7Y0UPQ",1286,"baroque ensemble,choral",https://i.scdn.co/image/9d7b67ea887773a0c12784dca73748c43be92e52,La Chapelle Royale,37,https://open.spotify.com/artist/1C3XEupIPUifPP8v7Y0UPQ,https://api.spotify.com/v1/artists/1C3XEupIPUifPP8v7Y0UPQ,spotify:artist:1C3XEupIPUifPP8v7Y0UPQ
"0kPQqnwTpb4xoBSxoGXnkO",1622,"choral,classical tenor",https://i.scdn.co/image/679ccb38fb1c7aa76a4e8e73dd9eec42a51117bf,Anthony Rolfe Johnson,32,https://open.spotify.com/artist/0kPQqnwTpb4xoBSxoGXnkO,https://api.spotify.com/v1/artists/0kPQqnwTpb4xoBSxoGXnkO,spotify:artist:0kPQqnwTpb4xoBSxoGXnkO
"39gp1NxfhmLEyvNggMH4xg",2354,"choral,classical soprano,opera",https://i.scdn.co/image/64ad6c323584425ce180e9858a3a0e3f17572c4b,Arleen Auger,29,https://open.spotify.com/artist/39gp1NxfhmLEyvNggMH4xg,https://api.spotify.com/v1/artists/39gp1NxfhmLEyvNggMH4xg,spotify:artist:39gp1NxfhmLEyvNggMH4xg
"3SgHzT552wy2W8pNLaLk24",4298893,"ccm,world worship,worship",https://i.scdn.co/image/ab676161000051743fa351bcd2f7a8f06a7bc3ba,Hillsong Worship,71,https://open.spotify.com/artist/3SgHzT552wy2W8pNLaLk24,https://api.spotify.com/v1/artists/3SgHzT552wy2W8pNLaLk24,spotify:artist:3SgHzT552wy2W8pNLaLk24
"11Y54BxlxC3UIAUkU2eadQ",390924,"ccm,christian alternative rock,christian music,world worship,worship",https://i.scdn.co/image/ab676161000051747d3f7a41b0ad4df2d4fb8429,Rend Collective,58,https://open.spotify.com/artist/11Y54BxlxC3UIAUkU2eadQ,https://api.spotify.com/v1/artists/11Y54BxlxC3UIAUkU2eadQ,spotify:artist:11Y54BxlxC3UIAUkU2eadQ
"74cb3MG0x0BOnYNW1uXYnM",3551352,"ccm,christian alternative rock,christian music,worship",https://i.scdn.co/image/ab6761610000517408b1ae876402b0a3c83d0030,Hillsong UNITED,69,https://open.spotify.com/artist/74cb3MG0x0BOnYNW1uXYnM,https://api.spotify.com/v1/artists/74cb3MG0x0BOnYNW1uXYnM,spotify:artist:74cb3MG0x0BOnYNW1uXYnM
"3YCKuqpv9nCsIhJ2v8SMix",2003073,"ccm,christian music,worship",https://i.scdn.co/image/ab67616100005174bcc5a8d718ae91bbb9a1959b,Elevation Worship,71,https://open.spotify.com/artist/3YCKuqpv9nCsIhJ2v8SMix,https://api.spotify.com/v1/artists/3YCKuqpv9nCsIhJ2v8SMix,spotify:artist:3YCKuqpv9nCsIhJ2v8SMix
"6pRi6EIPXz4QJEOEsBaA0m",1659458,"ccm,christian alternative rock,christian music,world worship,worship",https://i.scdn.co/image/ab67616100005174b1823e3c5739019f9d354c99,Chris Tomlin,65,https://open.spotify.com/artist/6pRi6EIPXz4QJEOEsBaA0m,https://api.spotify.com/v1/artists/6pRi6EIPXz4QJEOEsBaA0m,spotify:artist:6pRi6EIPXz4QJEOEsBaA0m
"0Onvkz1Nbs4wHXXUwOIGk8",1185179,"ccm,christian music,deep ccm,world worship,worship",https://i.scdn.co/image/ab676161000051747aff8a274fcec288dd534abc,Jesus Culture,56,https://open.spotify.com/artist/0Onvkz1Nbs4wHXXUwOIGk8,https://api.spotify.com/v1/artists/0Onvkz1Nbs4wHXXUwOIGk8,spotify:artist:0Onvkz1Nbs4wHXXUwOIGk8
