,user,item,time_period,timestamp,position
68,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6ieoXWqZINp3ErxWrLEjZM,long,1666364044.2272007,18
69,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,22zLk8zlAjBCVYW7XbG1pY,long,1666364044.2272007,19
70,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,3AAShIXxo5jCb0h4RUcFBT,long,1666364044.2272007,20
71,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4jcyRrWJMmlq0e1aJgnnrF,long,1666364044.2272007,21
72,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1ldLT8n6fkQRBDW872sUqt,long,1666364044.2272007,22
73,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7HvswCZfI8wBZ2qU5AsgwJ,long,1666364044.2272007,23
74,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5fTi0Sk1mP56Y6O6EtrNJy,long,1666364044.2272007,24
75,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7FeF8ywQi6Auovb94rEjOG,long,1666364044.2272007,25
76,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0cRla9CdnuyUFKLOJksTvx,long,1666364044.2272007,26
77,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,66woJTD0Vp94PfxmcByHMZ,long,1666364044.2272007,27
78,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5Cxh2jX79yWkG4yyFNicDw,long,1666364044.2272007,28
79,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,56IAXauHbrNjnoGcPSzklG,long,1666364044.2272007,29
80,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,5qMf0McTDyNfkbiFd1rOpS,long,1666364044.2272007,30
81,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6SHryQyG7qyO6UOayxlkzB,long,1666364044.2272007,31
82,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,7bzaIsOrDQRomB7dzbILaD,long,1666364044.2272007,32
83,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1C8RqJs8IqMBP2C86iSbNV,long,1666364044.2272007,33
84,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,4SG8qjxY6pnyS3mJPV1TcI,long,1666364044.2272007,34
85,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,0LN0GhK0LvmKp1vIc1rpP9,long,1666364044.2272007,35
86,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,2mJmlA087nSQlLcJ3trPXv,long,1666364044.2272007,36
87,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,1hbe8im2TAxV3OE6EgUGul,long,1666364044.2272007,37
88,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,3YFGh5Kga1K40yUhuCVffM,long,1666364044.2272007,38
89,d28708a363b58062087293f779256fffa38fdd56c1f79d5e2855dfaa7a04f4e6,6KjSRihg1U0Fn4kzrEuZb4,long,1666364044.2272007,39
